,validated_id,current_symbol,Official_ID,First_Author,Year,PMID,website_address
205,FBgn0027607,CG8230,LinearUp-7,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
206,FBgn0000352,cos,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
207,FBgn0005616,msl-2,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
208,FBgn0027610,Dic1,Complex-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
209,FBgn0033661,CG13185,LinearUp-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
210,FBgn0000377,crn,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
211,FBgn0038180,Cht5,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
212,FBgn0000394,cv,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
213,FBgn0085446,CG34417,Complex-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
214,FBgn0027617,CG5808,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
215,FBgn0030658,CG7872,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
216,FBgn0000395,cv-2,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
